
boundary -2.00 0.0 0.00 14.00 3 3.50

block 2.25 0 0       2.65 1.9 3.4       30.00 144.00 255.00
block 0.05 1.1 0    0.45 3 3.4        0.00 191.00 255.00
block 4.5 1.1 0     4.9 3 3.4         0.00 191.00 255.00
#block 7.5 1.1 0     7.9 3 3.4         0.00 191.00 255.00

#block 0.5 0.5 0.0   1.0 1.0 3.0     255.00 0.00 0.00
#block 2.5 1.5 0.0    2.0 1.0 3.0     255.00 0.00 0.00
#block 3.5 1.0 0.0   4.0 0.5 3.0     255.00 0.00 0.00
#block 3.5 1.0 0.0   4.0 0.5 3.0     255.00 0.00 0.00
#block 3.7 2.0 0.0   4.2 2.5 3.0     255.00 0.00 0.00
#block 5.5 1.0 0.0   6.0 0.5 3.0     255.00 0.00 0.00
#block 7.5 3.0 0.0   8.0 2.5 3.0     255.00 0.00 0.00
#block 8.5 1.5 0.0   9.0 2.0 3.0     255.00 0.00 0.00
